timestamp,voltage,current,power,theoretical_power,irradiance,temperature,efficiency,mpp_efficiency,shading_loss,voltage_fault,current_fault,power_fault,efficiency_low,voltage_deviation,current_deviation,power_deviation,detected_fault,fault_severity
2024-01-01 00:00:00,37.361414222047514,-0.0,0.0,0.0,0.0,20.496714153011233,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 00:15:00,38.57433730917623,-0.0,0.0,0.0,0.0,19.861735698828817,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 00:30:00,37.09810853727882,-0.0,0.0,0.0,0.0,20.64768853810069,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 00:45:00,36.79015823412719,-0.0,0.0,0.0,0.0,21.523029856408026,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 01:00:00,40.14677474503523,-0.0,0.0,0.0,0.0,19.765846625276666,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 01:15:00,38.084759433669376,-0.0,0.0,0.0,0.0,19.76586304305082,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 01:30:00,37.86797997953441,-0.0,0.0,0.0,0.0,21.57921281550739,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 01:45:00,37.99511084535587,-0.0,0.0,0.0,0.0,20.76743472915291,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 02:00:00,38.76963443713258,-0.0,0.0,0.0,0.0,19.53052561406505,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 02:15:00,37.88372595778605,-0.0,0.0,0.0,0.0,20.542560043585965,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
2024-01-01 02:30:00,38.323066521952796,-0.0,0.0,0.0,0.0,19.536582307187537,,0.0,0.0,False,False,False,False,0.0,0.0,0.0,Normal,Low
